Sitename: Willow Creek Wisconsin USA
Location: Latitude: 45.9059  Longitude: -90.0799  Elevation (masl): 515
Principal investigator: Ankur Desai
Ecosystem type: DBF Deciduous Broadleaf Forest
File creation date: 11MAY2011
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2005,0,1.16667,1,400,0.204,-13.239,5.914,2.252,0.664,0.309,0.356,-5.679,-6999,-0.187,-6999,5.63,1.638,0,1.84,5,0,100,96.409,385.03,0,34.959,31.596,-24.889,0.001,0,-6999,-6999,1.025,232.407,256.273,2.147,0.808,0,384.911,29.6,-6999,-9999,-6999,-6999
2005,0,1.18750,1,430,0.41,-13.214,24.558,2.349,0.635,0.441,0.195,-16.031,-6999,0.435,-6999,5.505,1.566,0,1.776,5,0,100,96.397,385.223,0,34.939,31.594,-21.78,0,0,-6999,-6999,0.825,236.273,257.229,2.163,0.776,0,385.109,29.6,-6999,-9999,-6999,-6999
2005,0,1.20833,1,500,0.304,-12.893,36.457,1.713,0.998,0.75,0.249,-13.015,-6999,-0.991,-6999,5.38,1.615,0,1.816,5,0,100,96.415,385.299,0,34.915,31.592,-13.818,0,0,-6999,-6999,0.58,245.855,259.094,2.213,0.796,0,385.38,29.6,-6999,-9999,-6999,-6999
2005,0,1.22917,1,530,0.28,-12.816,25.378,1.511,0.967,0.709,0.258,-11.229,-6999,-0.275,-6999,5.339,1.528,0,1.735,5,0,100,96.432,385.494,0,34.89,31.59,-10.789,0.001,0,-6999,-6999,0.439,250.053,260.403,2.231,0.756,0,385.512,29.6,-6999,-9999,-6999,-6999
2005,0,1.25000,1,600,0.248,-12.529,41.555,1.242,0.566,0.493,0.074,-8.311,-6999,0.081,-6999,5.13,1.561,0,1.786,5,0,100,96.484,385.411,0,34.864,31.589,-12.702,0.001,0,-6999,-6999,0.629,249.087,261.16,2.272,0.781,0,385.447,29.6,-6999,-9999,-6999,-6999
2005,0,1.27083,1,630,0.195,-12.395,68.475,1.169,1.013,0.685,0.328,-8.224,-6999,0.733,-6999,5.131,1.466,0,1.696,5,0,100,96.53,385.418,0,34.836,31.587,-11.557,0.001,0,-6999,-6999,0.552,250.75,261.757,2.291,0.738,0,385.318,29.6,-6999,-9999,-6999,-6999
2005,0,1.29167,1,700,0.402,-12.143,71.447,1.589,2.263,1.93,0.334,-17.169,-6999,-0.321,-6999,5.006,1.52,0,1.756,5,0,100,96.552,385.462,0,34.81,31.585,-12.448,0.006,0,-6999,-6999,0.705,250.651,262.395,2.327,0.766,0,385.235,29.6,-6999,-9999,-6999,-6999
2005,0,1.31250,1,730,0.437,-11.723,77.352,1.469,0.819,1.82,-1.001,-14.165,-6999,-0.263,-6999,4.881,1.436,0,1.686,5,0,100,96.586,384.399,0,34.781,31.582,-5.164,5.954,6.876,-6999,-6999,2.675,255.06,264.426,2.4,0.733,0,384.304,29.6,-6999,-9999,-6999,-6999
2005,0,1.33333,1,800,0.543,-11.336,85.346,1.828,-0.471,1.179,-1.649,-3.037,-6999,-0.056,-6999,4.839,1.493,0,1.746,5,0,100,96.638,383.517,0,34.754,31.581,13.341,42.997,29.792,-6999,-6999,8.918,259.423,266.957,2.471,0.761,-0.374,383.224,29.6,-6999,-9999,-6999,-6999
2005,0,1.35417,1,830,0.582,-10.971,96.012,1.965,0.987,1.3,-0.312,7.408,-6999,-0.031,-6999,4.672,1.412,0,1.677,5,0,100,96.638,382.978,0,34.728,31.578,22.276,74.709,37.481,-6999,-6999,11.14,265.333,269.397,2.555,0.729,-0.374,382.888,29.6,-6999,-9999,-6999,-6999
2005,0,1.37500,1,900,0.547,-10.476,89.277,2.218,0.458,0.713,-0.255,15.201,-6999,-0.948,-6999,4.589,1.465,0,1.724,5,0,100,96.645,382.647,0,34.702,31.576,49.345,135.81,77.292,-6999,-6999,22.374,266.456,272.03,2.632,0.751,-0.374,382.617,29.6,-6999,-9999,-6999,-6999
2005,0,1.39583,1,930,0.662,-9.803,80.723,2.424,0.625,0.867,-0.242,33.724,-6999,0.352,-6999,4.38,1.379,0,1.661,5,0,100,96.646,382.427,0,34.676,31.573,77.077,248.087,129.694,-6999,-6999,34.733,257.33,275.215,2.689,0.721,-0.374,382.311,29.6,-6999,-9999,-6999,-6999
2005,0,1.41667,1,1000,0.816,-9.161,76.756,3.285,-0.053,0.126,-0.179,43.738,-6999,-1.054,-6999,4.255,1.424,0,1.712,5,0,100,96.599,382.067,0,34.651,31.571,91.198,308.141,160.197,-6999,-6999,38.77,246.905,277.135,2.688,0.745,-0.374,382.187,29.6,-6999,-9999,-6999,-6999
2005,0,1.43750,1,1030,0.821,-8.806,77.92,2.8,-0.172,0.04,-0.211,52.161,-6999,-1.206,-6999,4.088,1.336,0,1.63,5,0,100,96.571,381.827,0,34.625,31.568,90.248,312.197,149.814,-6999,-6999,36.666,256.024,278.924,2.686,0.707,-0.374,381.845,29.6,-6999,-9999,-6999,-6999
2005,0,1.45833,1,1100,0.807,-8.584,85.371,2.336,0.04,-0.094,0.134,50.737,-6999,-2.552,-6999,3.88,1.38,0,1.668,5,0,100,96.577,382.066,0,34.6,31.565,82.582,281.467,123.998,-6999,-6999,30.89,269.954,280.481,2.724,0.724,-0.374,381.927,29.6,-6999,-9999,-6999,-6999
2005,0,1.47917,1,1130,0.819,-8.275,87.724,2.83,0.853,0.822,0.031,51.313,-6999,0.548,-6999,3.838,1.289,0,1.597,5,0,100,96.528,382.092,0,34.576,31.562,78.469,246.047,116.612,-6999,-6999,28.855,272.495,281.784,2.772,0.693,-0.374,381.838,29.6,-6999,-9999,-6999,-6999
2005,0,1.50000,1,1200,0.779,-7.951,109.572,2.726,0.127,0.216,-0.088,47.098,-6999,0.007,-6999,3.63,1.35,0,1.664,5,0,100,96.522,381.972,0,34.557,31.559,70.586,228.264,104.971,-6999,-6999,26.124,274.554,282.816,2.813,0.723,-0.374,381.929,29.6,-6999,-9999,-6999,-6999
2005,0,1.52083,1,1230,0.702,-7.659,112.837,2.949,0.7,0.712,-0.011,35.946,-6999,-0.646,-6999,3.713,1.191,0,1.497,5,0,100,96.537,381.909,0,34.533,31.554,50.773,188.24,79.517,-6999,-6999,19.839,274.613,283.519,2.842,0.65,-0.374,381.8,29.6,-6999,-9999,-6999,-6999
2005,0,1.54167,1,1300,0.768,-7.498,107.198,2.924,-0.032,0.121,-0.153,29.497,-6999,-1.179,-6999,4.672,0.936,0,1.239,5,0,100,96.464,381.693,0,34.512,31.553,44.232,154.711,67.479,-6999,-6999,16.733,277.386,283.899,2.882,0.552,-0.374,381.762,29.6,-6999,-9999,-6999,-6999
2005,0,1.56250,1,1330,0.833,-7.349,107.097,2.773,1.609,1.355,0.255,30.397,-6999,1.121,-6999,5.381,0.992,0,1.3,5,0,100,96.402,381.993,0,34.489,31.552,35.505,126.444,59.386,-6999,-6999,14.952,275.214,284.145,2.924,0.574,-0.374,382.039,29.6,-6999,-9999,-6999,-6999
2005,0,1.58333,1,1400,0.78,-7.11,108.524,2.367,0.39,0.317,0.073,27.933,-6999,0.385,-6999,5.213,1.296,0,1.618,5,0,100,96.399,382.089,0,34.467,31.548,38.269,134.92,61.416,-6999,-6999,15.357,277.429,285.219,2.976,0.702,-0.374,382.033,29.6,-6999,-9999,-6999,-6999
2005,0,1.60417,1,1430,0.761,-6.974,94.309,2.84,0.351,0.538,-0.186,22.615,-6999,-0.834,-6999,4.796,1.338,0,1.672,5,0,100,96.384,381.814,0,34.446,31.546,26.18,96.676,38.121,-6999,-6999,9.412,283.209,285.739,3.018,0.726,-0.374,381.829,29.6,-6999,-9999,-6999,-6999
2005,0,1.62500,1,1500,0.73,-6.919,106.756,3.145,0.065,-0.14,0.206,13.221,-6999,-1.404,-6999,4.504,1.427,0,1.764,5,0,100,96.337,382.154,0,34.425,31.542,16.879,46.164,20.82,-6999,-6999,5.121,287.035,285.855,3.06,0.77,-0.374,382.163,29.6,-6999,-9999,-6999,-6999
2005,0,1.64583,1,1530,0.73,-6.78,108.744,2.922,1.651,1.241,0.411,11.054,-6999,0.515,-6999,4.296,1.364,0,1.7,5,0,100,96.291,382.785,0,34.405,31.539,11.175,34.302,13.004,-6999,-6999,3.152,287.632,286.309,3.115,0.74,-0.374,382.609,29.6,-6999,-9999,-6999,-6999
2005,0,1.66667,1,1600,1.094,-6.881,105.438,3.735,0.938,0.961,-0.022,3.989,-6999,-0.104,-6999,4.087,1.408,0,1.753,5,0,100,96.203,382.711,0,34.386,31.538,1.073,6.052,1.688,-6999,-6999,0.365,285.155,285.406,3.207,0.765,-0.374,382.668,29.6,-6999,-9999,-6999,-6999
2005,0,1.68750,1,1630,0.946,-6.878,109.121,3.906,-0.33,0.066,-0.395,15.468,-6999,-2.35,-6999,3.879,1.314,0,1.665,5,0,100,96.148,382.211,0,34.367,31.537,4.262,0.067,0.197,-6999,-6999,0,289.837,285.772,3.226,0.723,0,382.193,29.6,-6999,-9999,-6999,-6999
2005,0,1.70833,1,1700,0.996,-6.784,104.801,3.156,1.022,1.255,-0.232,13.969,-6999,-0.749,-6999,3.837,1.362,0,1.721,5,0,100,96.082,381.844,0,34.352,31.531,6.386,0.001,0.2,-6999,-6999,0,292.385,286.198,3.226,0.749,0,381.848,29.6,-6999,-9999,-6999,-6999
2005,0,1.72917,1,1730,0.973,-6.721,102.555,3.512,0.66,0.821,-0.161,11.196,-6999,-0.729,-6999,3.712,1.3,0,1.648,5,0,100,96.021,381.59,0,34.334,31.528,7.594,0,0.171,-6999,-6999,0,293.96,286.537,3.255,0.716,0,381.626,29.6,-6999,-9999,-6999,-6999
2005,0,1.75000,1,1800,0.973,-6.638,106.805,3.982,0.007,0.162,-0.155,15.641,-6999,-0.596,-6999,3.629,1.34,0,1.697,5,0,100,95.904,381.393,0,34.317,31.526,8.398,0,0.23,-6999,-6999,0,295.017,286.849,3.225,0.738,0,381.392,29.6,-6999,-9999,-6999,-6999
2005,0,1.77083,1,1830,1.107,-6.504,109.916,3.925,0.13,0.109,0.022,21.918,-6999,-2.549,-6999,3.629,1.272,0,1.618,5,0,100,95.798,381.447,0,34.304,31.523,10.676,0.001,0.282,-6999,-6999,0,297.892,287.498,3.208,0.702,0,381.394,29.6,-6999,-9999,-6999,-6999
2005,0,1.79167,1,1900,1.199,-6.339,114.253,4.871,0.67,0.541,0.13,28.213,-6999,-2.26,-6999,3.588,1.329,0,1.684,5,0,100,95.714,381.62,0,34.289,31.52,11.478,0,0.27,-6999,-6999,0,299.198,287.991,3.213,0.732,0,381.571,29.6,-6999,-9999,-6999,-6999
2005,0,1.81250,1,1930,1.337,-6.307,117.372,4.563,1.697,1.727,-0.03,51.67,-6999,-3.216,-6999,3.546,1.25,0,1.604,5,0,100,95.66,381.634,0,34.272,31.518,2.258,0.001,0.003,-6999,-6999,0,291.803,289.547,3.294,0.696,0,381.538,29.6,-6999,-9999,-6999,-6999
2005,0,1.83333,1,2000,1.325,-6.654,120.95,4.148,0.918,0.864,0.055,21.754,-6999,-0.279,-6999,3.379,1.309,0,1.658,5,0,100,95.543,381.686,0,34.247,31.515,-2.726,0,0,-6999,-6999,0,284.757,287.484,3.477,0.72,0,381.695,29.6,-6999,-9999,-6999,-6999
2005,0,1.85417,1,2030,1.195,-6.702,121.597,4.543,1.097,1.121,-0.024,20.518,-6999,3.204,-6999,3.379,1.244,0,1.592,5,0,100,95.51,381.658,0,34.231,31.512,-2.097,0,0,-6999,-6999,0.008,285.037,287.127,3.647,0.69,0,381.579,29.6,-6999,-9999,-6999,-6999
2005,0,1.87500,1,2100,1.26,-6.666,121.297,5.637,1.636,1.603,0.033,24.65,-6999,-3.168,-6999,3.379,1.299,0,1.644,5,0,100,95.416,381.702,0,34.219,31.51,-1.941,0,0,-6999,-6999,0.056,284.921,286.807,3.652,0.714,0,381.684,29.6,-6999,-9999,-6999,-6999
2005,0,1.89583,1,2130,1.251,-6.448,127.676,4.196,0.794,0.685,0.109,21.618,-6999,-1.743,-6999,3.379,1.238,0,1.578,5,0,100,95.366,381.85,0,34.204,31.506,-1.931,0.001,0,-6999,-6999,0.098,285.72,287.555,3.679,0.684,0,381.872,29.6,-6999,-9999,-6999,-6999
2005,0,1.91667,1,2200,0.763,-6.126,137.73,1.832,-0.286,-0.502,0.217,-8.487,-6999,-2.492,-6999,3.379,1.299,0,1.647,5,0,100,95.453,382.145,0,34.19,31.504,-2.316,0,0,-6999,-6999,0.186,287.338,289.469,3.856,0.715,0,382.068,29.6,-6999,-9999,-6999,-6999
2005,0,1.93750,1,2230,0.445,-5.838,178.443,1.378,0.431,0.246,0.186,-7.156,-6999,-0.647,-6999,3.379,1.211,0,1.553,5,0,100,95.498,382.431,0,34.174,31.502,-1.608,0,0,-6999,-6999,0.14,288.855,290.324,4.044,0.674,0,382.378,29.6,-6999,-9999,-6999,-6999
2005,0,1.95833,1,2300,0.453,-5.565,150.619,2.398,0.796,0.439,0.357,-9.88,-6999,-0.021,-6999,3.379,1.259,0,1.601,5,1.242,100,95.45,382.863,0,34.16,31.5,-1.006,0.001,0.109,-6999,-6999,0.171,290.039,290.983,4.16,0.695,0,382.889,29.6,-6999,-9999,-6999,-6999
2005,0,1.97917,1,2330,0.601,-5.096,155.596,2.057,0.722,0.154,0.568,-19.181,-6999,-1.051,-6999,3.379,1.198,0,1.552,5,1.397,100,95.424,383.639,0,34.143,31.496,-0.469,0,0.186,-6999,-6999,0.149,292.042,292.548,4.326,0.673,0,383.738,29.6,-6999,-9999,-6999,-6999
2005,0,2.00000,2,000,0.503,-4.949,163.462,2.082,0.998,0.6,0.399,-4.203,-6999,-0.504,-6999,3.379,1.266,0,1.614,5,0.466,100,95.389,384.144,0,34.132,31.494,-0.416,0.001,0.041,-6999,-6999,0,292.936,293.394,4.386,0.7,0,384.21,29.6,-6999,-9999,-6999,-6999
2005,0,2.02083,2,030,0.418,-4.777,153.476,1.497,0.875,0.826,0.05,-5.018,-6999,1.95,-6999,3.462,1.118,0,1.464,5,0.311,100,95.336,384.369,0,34.119,31.491,0.199,0.006,0.78,-6999,-6999,0,294.702,295.282,4.454,0.636,0,384.307,29.6,-6999,-9999,-6999,-6999
2005,0,2.04167,2,100,0.406,-4.674,158.487,1.529,0.204,0.462,-0.258,-4.793,-6999,0.251,-6999,4.422,0.822,0,1.165,5,0.156,100,95.301,383.945,0,34.107,31.492,-0.947,0.073,0,-6999,-6999,0,294.41,295.357,4.495,0.526,0,383.864,29.6,-6999,-9999,-6999,-6999
2005,0,2.06250,2,130,0.332,-4.575,178.574,1.199,0.682,0.407,0.276,-5.54,-6999,-0.431,-6999,5.13,0.884,0,1.221,5,0.156,100,95.304,384.323,0,34.093,31.487,-0.781,0.019,0,-6999,-6999,0.08,294.692,295.393,4.535,0.546,0,384.289,29.6,-6999,-9999,-6999,-6999
2005,0,2.08333,2,200,0.295,-4.377,178.877,1.472,1.103,0.407,0.696,-6.288,-6999,0.46,-6999,5.046,1.211,0,1.556,5,0,100,95.296,385.212,0,34.081,31.485,-0.172,0.002,0.212,-6999,-6999,0.031,295.685,296.038,4.613,0.675,0,385.075,29.6,-6999,-9999,-6999,-6999
2005,0,2.10417,2,230,0.366,-4.081,-9999,1.499,0.767,0.493,0.274,-8.605,-6999,0.476,-6999,4.712,1.262,0,1.616,5,0.156,100,95.302,385.772,0,34.069,31.483,0.076,0,0.236,-6999,-6999,0.024,297.056,297.192,4.733,0.701,0,385.301,29.6,-6999,-9999,-6999,-6999
2005,-1,2.12500,2,300,-9999,-3.843,-9999,-9999,-9999,-9999,0.383,-9999,-6999,-9999,-6999,4.295,1.368,0,1.719,5,0,100,95.295,385.995,0,34.061,31.48,0.118,0,0.113,-6999,-6999,0,298.027,298.022,4.823,0.748,0,386.003,29.6,-6999,-9999,-6999,-6999
2005,-1,2.14583,2,330,-9999,-3.756,-9999,-9999,-9999,-9999,0.155,-9999,-6999,-9999,-6999,4.087,1.298,0,1.647,5,0.156,100,95.25,386.314,0,34.047,31.478,0.049,0,0.07,-6999,-6999,0,298.568,298.589,4.859,0.715,0,386.337,29.6,-6999,-9999,-6999,-6999
2005,-1,2.16667,2,400,-9999,-3.639,-9999,-9999,-9999,-9999,0.402,-9999,-6999,-9999,-6999,3.837,1.34,0,1.683,5,0,100,95.229,386.731,0,34.036,31.476,-0.083,0,0.013,-6999,-6999,0.007,298.885,298.974,4.91,0.731,0,386.672,29.6,-6999,-9999,-6999,-6999
2005,-1,2.18750,2,430,-9999,-3.464,-9999,-9999,-9999,-9999,0.021,-9999,-6999,-9999,-6999,3.67,1.289,0,1.638,5,0,100,95.221,387.081,0,34.026,31.474,-0.081,0.001,0,-6999,-6999,0.039,299.555,299.597,4.987,0.711,0,387.011,29.6,-6999,-9999,-6999,-6999
2005,-1,2.20833,2,500,-9999,-3.378,-9999,-9999,-9999,-9999,-0.121,-9999,-6999,-9999,-6999,3.462,1.361,0,1.692,5,0.156,100,95.257,386.898,0,34.015,31.471,-0.025,0,0,-6999,-6999,0,300.053,300.079,5.021,0.736,0,386.925,29.6,-6999,-9999,-6999,-6999
2005,-1,2.22917,2,530,-9999,-3.332,-9999,-9999,-9999,-9999,-0.173,-9999,-6999,-9999,-6999,3.378,1.288,0,1.625,5,0,100,95.274,386.675,0,34.006,31.469,-0.156,0.001,0,-6999,-6999,0.014,300.175,300.318,5.037,0.705,0,386.669,29.6,-6999,-9999,-6999,-6999
2005,-1,2.25000,2,600,-9999,-3.318,-9999,-9999,-9999,-9999,0.084,-9999,-6999,-9999,-6999,3.378,1.343,0,1.691,5,0.156,100,95.333,386.864,0,33.986,31.467,-0.271,0,0,-6999,-6999,0.014,300.171,300.429,5.032,0.735,0,386.852,29.6,-6999,-9999,-6999,-6999
2005,-1,2.27083,2,630,-9999,-3.432,-9999,-9999,-9999,-9999,-0.065,-9999,-6999,-9999,-6999,3.295,1.292,0,1.624,5,0,100,95.364,386.757,0,33.976,31.465,-0.317,0.001,0,-6999,-6999,0,299.803,300.12,4.988,0.704,0,386.748,29.6,-6999,-9999,-6999,-6999
2005,-1,2.29167,2,700,-9999,-3.548,-9999,-9999,-9999,-9999,-0.023,-9999,-6999,-9999,-6999,3.253,1.344,0,1.672,5,0,100,95.389,386.726,0,33.97,31.462,-0.155,0,0.061,-6999,-6999,0,299.454,299.67,4.95,0.726,0,386.762,29.6,-6999,-9999,-6999,-6999
2005,-1,2.31250,2,730,-9999,-3.674,-9999,-9999,-9999,-9999,-0.01,-9999,-6999,-9999,-6999,3.212,1.284,0,1.615,5,0.156,100,95.397,386.615,0,33.961,31.46,0.767,1.176,1.543,-6999,-6999,0.335,298.819,299.261,4.89,0.701,0,386.793,29.6,-6999,-9999,-6999,-6999
2005,-1,2.33333,2,800,-9999,-3.897,-9999,-9999,-9999,-9999,0.071,-9999,-6999,-9999,-6999,3.17,1.344,0,1.669,5,0,100,95.436,386.689,0,33.951,31.458,4.08,8.659,6.635,-6999,-6999,1.715,297.667,298.507,4.759,0.725,-0.374,386.795,29.6,-6999,-9999,-6999,-6999
2005,-1,2.35417,2,830,-9999,-4.244,-9999,-9999,-9999,-9999,-0.016,-9999,-6999,-9999,-6999,3.212,1.287,0,1.624,5,0,100,95.495,386.797,0,33.943,31.457,10.662,25.653,15.685,-6999,-6999,3.97,296.367,297.421,4.599,0.704,-0.374,386.828,29.6,-6999,-9999,-6999,-6999
2005,-1,2.37500,2,900,-9999,-4.661,-9999,-9999,-9999,-9999,-0.138,-9999,-6999,-9999,-6999,3.128,1.353,0,1.678,5,0.156,100,95.546,386.655,0,33.935,31.455,18.801,44.474,26.861,-6999,-6999,6.726,294.653,295.987,4.421,0.729,-0.374,386.54,29.6,-6999,-9999,-6999,-6999
2005,-1,2.39583,2,930,-9999,-5.014,-9999,-9999,-9999,-9999,-0.49,-9999,-6999,-9999,-6999,3.253,1.305,0,1.639,5,0,100,95.588,385.933,0,33.927,31.452,31.599,72.428,44.112,-6999,-6999,11.024,293.213,294.702,4.259,0.711,-0.374,385.864,29.6,-6999,-9999,-6999,-6999
2005,-1,2.41667,2,1000,-9999,-5.093,-9999,-9999,-9999,-9999,-0.302,-9999,-6999,-9999,-6999,3.212,1.373,0,1.701,5,0,100,95.632,385.404,0,33.918,31.45,65.901,144.944,89.44,-6999,-6999,22.284,293.492,294.748,4.145,0.74,-0.374,385.284,29.6,-6999,-9999,-6999,-6999
2005,-1,2.43750,2,1030,-9999,-5.084,-9999,-9999,-9999,-9999,-0.092,-9999,-6999,-9999,-6999,3.295,1.308,0,1.634,5,0,100,95.625,385.358,0,33.911,31.448,57.95,177.364,78.836,-6999,-6999,19.593,293.752,295.046,4.153,0.709,-0.374,385.417,29.6,-6999,-9999,-6999,-6999
2005,-1,2.45833,2,1100,-9999,-5.304,-9999,-9999,-9999,-9999,0.161,-9999,-6999,-9999,-6999,3.253,1.371,0,1.697,5,0,100,95.616,385.422,0,33.904,31.446,85.485,199.817,115.678,-6999,-6999,28.791,293.265,294.667,4.022,0.738,-0.374,385.487,29.6,-6999,-9999,-6999,-6999
2005,-1,2.47917,2,1130,-9999,-5.289,-9999,-9999,-9999,-9999,-0.072,-9999,-6999,-9999,-6999,3.253,1.236,0,1.567,5,0,100,95.616,385.434,0,33.898,31.444,89.63,250.454,121.27,-6999,-6999,30.051,293.527,295.116,3.977,0.68,-0.374,385.399,29.6,-6999,-9999,-6999,-6999
